id,parent_id,name,name_en,area
1045,10,วังทองหลาง,Wang Thong Lang,20.260824614700002
1046,10,คลองสามวา,Khlong Sam Wa,131.843727482
1047,10,บางนา,Bang Na,19.0212154522
1048,10,ทวีวัฒนา,Thawi Watthana,58.4942778108
1049,10,ทุ่งครุ,Thung Khu,38.4413537446
1050,10,บางบอน,Bang Bon,39.6332215129
1101,11,เมืองสมุทรปราการ,Mueang Samut Prakan,212.074886773
1102,11,บางบ่อ,Bang Bo,265.155784632
1103,11,บางพลี,Bang Phli,245.691723106
1104,11,พระประแดง,Phra Pradaeng,66.56664507020001
1105,11,พระสมุทรเจดีย์,Phra Samut Chedi,191.507197643
1106,11,บางเสาธง,Bang Sao Thong,137.44248113499998
1201,12,เมืองนนทบุรี,Mueang Nonthaburi,85.28159141869999
1202,12,บางกรวย,Bang Kruai,63.343377559299995
1203,12,บางใหญ่,Bang Yai,107.894470158
1204,12,บางบัวทอง,Bang Bua Thong,137.960704276
1205,12,ไทรน้อย,Sai Noi,233.05790477200003
1206,12,ปากเกร็ด,Pak Kret,108.26677292299999
1301,13,เมืองปทุมธานี,Mueang Pathum Thani,167.058375898
1302,13,คลองหลวง,Khlong Luang,352.739518181
1303,13,ธัญบุรี,Thanyaburi,129.80628434
1304,13,หนองเสือ,Nong Suea,395.079413349
1305,13,ลาดหลุมแก้ว,Lat Lum Kaeo,224.797909132
1306,13,ลำลูกกา,Lam Luk Ka,351.440004148
1307,13,สามโคก,Sam Khok,139.01012039
1401,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,136.321155697
1402,14,ท่าเรือ,Tha Ruea,126.15673546400001
1403,14,นครหลวง,Nakhon Luang,159.67133022299998
1404,14,บางไทร,Bang Sai,275.8252070759
1405,14,บางบาล,Bang Ban,158.203924184
1406,14,บางปะอิน,Bang Pa-In,287.755051308
1407,14,บางปะหัน,Bang Pahan,151.542919878
1408,14,ผักไห่,Phak Hai,202.000385628
1409,14,ภาชี,Phachi,138.22620059099998
1410,14,ลาดบัวหลวง,Lat Bua Luang,226.762700497
1411,14,วังน้อย,Wang Noi,271.004794787
1412,14,เสนา,Sena,248.98585815400003
1413,14,บางซ้าย,Bang Sai,190.48752419299998
1414,14,อุทัย,Uthai,197.459417139
1415,14,มหาราช,Maharat,125.90631639399999
1416,14,บ้านแพรก,Ban Phraek,50.8689451131
1501,15,เมืองอ่างทอง,Mueang Ang Thong,131.069107066
1502,15,ไชโย,Chaiyo,83.6810850146
1503,15,ป่าโมก,Pa Mok,92.5250924669
1504,15,โพธิ์ทอง,Pho Thong,233.40793388699998
1505,15,แสวงหา,Sawaeng Ha,182.30638122
1506,15,วิเศษชัยชาญ,Wiset Chai Chan,274.221750343
1507,15,สามโก้,Sam Ko,102.438638677
1601,16,เมืองลพบุรี,Mueang Lop Buri,877.520131151
1602,16,พัฒนานิคม,Phatthana Nikhom,1011.655697
1603,16,โคกสำโรง,Khok Samrong,816.326162193
1604,16,ชัยบาดาล,Chai Badan,1316.03549269
1605,16,ท่าวุ้ง,Tha Wung,290.68859803
1606,16,บ้านหมี่,Ban Mi,629.530714258
1607,16,ท่าหลวง,Tha Luang,462.03937133
1608,16,สระโบสถ์,Sa Bot,373.37518952600004
1609,16,โคกเจริญ,Khok Charoen,609.251836497
1610,16,ลำสนธิ,Lam Sonthi,619.471452767
1611,16,หนองม่วง,Nong Muang,528.1614378539999
1701,17,เมืองสิงห์บุรี,Mueang Sing Buri,145.23598206600002
1702,17,บางระจัน,Bang Rachan,217.20024339199998
1703,17,ค่ายบางระจัน,Khai Bang Rachan,125.852926389
1704,17,พรหมบุรี,Phrom Buri,98.1238159622
1705,17,ท่าช้าง,Tha Chang,48.4723699803
1706,17,อินทร์บุรี,In Buri,310.857446081
1801,18,เมืองชัยนาท,Mueang Chai Nat,326.12835464700004
1802,18,มโนรมย์,Manorom,295.544589614
1803,18,วัดสิงห์,Wat Sing,321.264842288
1804,18,สรรพยา,Sapphaya,257.8448125
1805,18,สรรคบุรี,Sankha Buri,397.042518436
1806,18,หันคา,Han Kha,631.624744985
1807,18,หนองมะโมง,Nong Mamong,353.55794370999996
1808,18,เนินขาม,Noen Kham,317.360879237
1901,19,เมืองสระบุรี,Mueang Saraburi,209.23664775199998
1902,19,แก่งคอย,Kaeng Khoi,892.067232569
1903,19,หนองแค,Nong Khae,356.586229151
1904,19,วิหารแดง,Wihan Daeng,213.7814878
1905,19,หนองแซง,Nong Saeng,98.894609679
1906,19,บ้านหมอ,Ban Mo,180.600899856
1907,19,ดอนพุด,Don Phut,66.3204704319
1908,19,หนองโดน,Nong Don,155.044234988
1909,19,พระพุทธบาท,Phraphutthabat,258.165710237
1910,19,เสาไห้,Sao Hai,138.187794602
1911,19,มวกเหล็ก,Muak Lek,948.326581898
1912,19,วังม่วง,Wang Muang,320.181739176
1913,19,เฉลิมพระเกียรติ,Chaloem Phrakiat,202.6548096
2001,20,เมืองชลบุรี,Mueang Chon Buri,295.74194049199997
2002,20,บ้านบึง,Ban Bueng,686.529128934
2003,20,หนองใหญ่,Nong Yai,527.6395520030001
2004,20,บางละมุง,Bang Lamung,577.388739021
2005,20,พานทอง,Phan Thong,194.08358288999997
2006,20,พนัสนิคม,Phanat Nikhom,555.0825076870001
2007,20,ศรีราชา,Si Racha,721.3597032668586
2008,20,เกาะสีชัง,Ko Si Chang,7.46068915845
2009,20,สัตหีบ,Sattahip,331.8858793131889
2010,20,บ่อทอง,Bo Thong,963.623841934
2011,20,เกาะจันทร์,Ko Chan,311.582919844
2012,20,บางละมุง,Bang La Mung,42.5966201176126
2101,21,เมืองระยอง,Mueang Rayong,779.5906109165868
2102,21,บ้านฉาง,Ban Chang,188.744750787
2103,21,แกลง,Klaeng,851.3867580175472
2104,21,วังจันทร์,Wang Chan,431.925615896
2105,21,บ้านค่าย,Ban Khai,549.367728202
2106,21,ปลวกแดง,Pluak Daeng,614.228597423
2107,21,เขาชะเมา,Khao Chamao,552.0683648309999
2108,21,นิคมพัฒนา,Nikhom Phatthana,272.938654275
2201,22,เมืองจันทบุรี,Mueang Chanthaburi,327.149538736
2202,22,ขลุง,Khlung,909.782200536986
