id,parent_id,name,name_en,area
1803,18,วัดสิงห์,Wat Sing,321.264842288
1804,18,สรรพยา,Sapphaya,257.8448125
1805,18,สรรคบุรี,Sankha Buri,397.042518436
1806,18,หันคา,Han Kha,631.624744985
1807,18,หนองมะโมง,Nong Mamong,353.55794370999996
1808,18,เนินขาม,Noen Kham,317.360879237
1901,19,เมืองสระบุรี,Mueang Saraburi,209.23664775199998
1902,19,แก่งคอย,Kaeng Khoi,892.067232569
1903,19,หนองแค,Nong Khae,356.586229151
1904,19,วิหารแดง,Wihan Daeng,213.7814878
1905,19,หนองแซง,Nong Saeng,98.894609679
1906,19,บ้านหมอ,Ban Mo,180.600899856
1907,19,ดอนพุด,Don Phut,66.3204704319
1908,19,หนองโดน,Nong Don,155.044234988
1909,19,พระพุทธบาท,Phraphutthabat,258.165710237
1910,19,เสาไห้,Sao Hai,138.187794602
1911,19,มวกเหล็ก,Muak Lek,948.326581898
1912,19,วังม่วง,Wang Muang,320.181739176
1913,19,เฉลิมพระเกียรติ,Chaloem Phrakiat,202.6548096
2001,20,เมืองชลบุรี,Mueang Chon Buri,295.74194049199997
2002,20,บ้านบึง,Ban Bueng,686.529128934
2003,20,หนองใหญ่,Nong Yai,527.6395520030001
2004,20,บางละมุง,Bang Lamung,577.388739021
2005,20,พานทอง,Phan Thong,194.08358288999997
2006,20,พนัสนิคม,Phanat Nikhom,555.0825076870001
2007,20,ศรีราชา,Si Racha,721.3597032668586
2008,20,เกาะสีชัง,Ko Si Chang,7.46068915845
2009,20,สัตหีบ,Sattahip,331.8858793131889
2010,20,บ่อทอง,Bo Thong,963.623841934
2011,20,เกาะจันทร์,Ko Chan,311.582919844
2012,20,บางละมุง,Bang La Mung,42.5966201176126
2101,21,เมืองระยอง,Mueang Rayong,779.5906109165868
2102,21,บ้านฉาง,Ban Chang,188.744750787
2103,21,แกลง,Klaeng,851.3867580175472
2104,21,วังจันทร์,Wang Chan,431.925615896
2105,21,บ้านค่าย,Ban Khai,549.367728202
2106,21,ปลวกแดง,Pluak Daeng,614.228597423
2107,21,เขาชะเมา,Khao Chamao,552.0683648309999
2108,21,นิคมพัฒนา,Nikhom Phatthana,272.938654275
2201,22,เมืองจันทบุรี,Mueang Chanthaburi,327.149538736
2202,22,ขลุง,Khlung,909.782200536986
2203,22,ท่าใหม่,Tha Mai,724.662257497895
2204,22,โป่งน้ำร้อน,Pong Nam Ron,1178.02472378
2205,22,มะขาม,Makham,515.289932608
2206,22,แหลมสิงห์,Laem Sing,198.38499162090048
2207,22,สอยดาว,Soi Dao,929.4468007300001
2208,22,แก่งหางแมว,Kaeng Hang Maeo,1408.679071
2209,22,นายายอาม,Na Yai Am,331.132119334
2210,22,เขาคิชฌกูฏ,Khao Khitchakut,904.2792379470001
2301,23,เมืองตราด,Mueang Trat,1096.45256027
2302,23,คลองใหญ่,Khlong Yai,84.6979209374
2303,23,เขาสมิง,Khao Saming,752.8254458250001
2304,23,บ่อไร่,Bo Rai,785.41120739
2305,23,แหลมงอบ,Laem Ngop,192.351430472
2306,23,เกาะกูด,Ko Kut,151.48421980246488
2307,23,เกาะช้าง,Ko Chang,253.993127641292
2401,24,เมืองฉะเชิงเทรา,Mueang Chachoengsao,445.615531341
2402,24,บางคล้า,Bang Khla,272.708842907
2403,24,บางน้ำเปรี้ยว,Bang Nam Priao,575.4244841670001
2404,24,บางปะกง,Bang Pakong,301.19707166
2405,24,บ้านโพธิ์,Ban Pho,244.437095887
2406,24,พนมสารคาม,Phanom Sarakham,591.939003746
2407,24,ราชสาส์น,Ratchasan,167.59518106299998
2408,24,สนามชัยเขต,Sanam Chai Khet,1235.1462608699999
